epoch, training perplexity, valid perplexity, test perplexity
  1,   579.90,   347.20,
  2,   242.77,   248.80,
  3,   176.36,   197.65,
  4,   145.65,   161.92,
  5,   124.60,   142.94,
  6,   111.54,   130.80,
  7,    99.28,   117.08,
  8,    89.93,   104.70,
  9,    82.69,    96.76,
 10,    75.30,    86.95,
 11,    69.41,    76.82,
 12,    63.66,    71.31,
 13,    59.02,    66.14,
 14,    55.36,    60.20,
 15,    51.41,    54.90,
 16,    48.30,    52.30,
 17,    45.83,    48.36,
 18,    43.15,    45.95,
 19,    41.14,    43.18,
 20,    39.15,    40.26,
 21,    37.43,    37.92,
 22,    35.79,    36.31,
 23,    34.59,    34.55,
 24,    33.14,    33.31,
 25,    32.30,    31.37,
 26,    31.23,    29.95,
 27,    30.09,    29.01,
 28,    29.42,    27.91,
 29,    28.68,    26.92,
 30,    27.99,    26.35,
 31,    27.30,    25.15,
 32,    26.57,    24.46,
 33,    26.30,    24.24,
 34,    25.75,    23.47,
 35,    25.16,    22.83,
 36,    24.87,    22.43,
 37,    24.50,    21.37,
 38,    24.16,    21.49,
 39,    21.32,    18.83,
 40,    19.52,    17.86,
end,,,     9.46
