epoch, training perplexity, valid perplexity, test perplexity
  1,   680.52,   488.81,
  2,   391.96,   383.29,
  3,   339.80,   358.57,
  4,   319.83,   353.06,
  5,   308.31,   341.16,
  6,   301.81,   332.18,
  7,   298.02,   328.67,
  8,   294.34,   323.37,
  9,   290.04,   319.21,
 10,   288.35,   319.61,
 11,   278.09,   306.84,
 12,   271.05,   304.13,
 13,   265.41,   300.96,
 14,   263.67,   298.40,
 15,   260.50,   295.34,
 16,   256.45,   293.00,
 17,   255.42,   291.69,
 18,   252.86,   289.87,
 19,   251.32,   288.17,
 20,   249.38,   287.08,
 21,   248.91,   283.94,
 22,   247.35,   283.12,
 23,   245.66,   281.82,
 24,   244.83,   280.99,
 25,   242.95,   278.62,
 26,   242.01,   276.76,
 27,   241.64,   275.88,
 28,   239.57,   274.76,
 29,   239.33,   273.56,
 30,   237.57,   272.80,
 31,   237.80,   271.14,
 32,   237.03,   268.30,
 33,   236.61,   267.67,
 34,   233.79,   266.62,
 35,   233.54,   264.70,
 36,   233.33,   263.97,
 37,   231.05,   261.82,
 38,   230.82,   260.07,
 39,   228.79,   258.90,
 40,   229.34,   257.57,
end,,,   176.56
