epoch, training perplexity, valid perplexity, test perplexity
  1,   584.41,   423.73,
  2,   239.57,   252.73,
  3,   169.73,   190.29,
  4,   136.19,   162.88,
  5,   114.11,   139.14,
  6,    98.38,   127.26,
  7,    85.79,   109.17,
  8,    74.47,    93.18,
  9,    64.59,    81.67,
 10,    55.95,    72.22,
 11,    48.27,    63.75,
 12,    42.38,    57.60,
 13,    37.33,    51.78,
 14,    32.90,    47.79,
 15,    29.36,    43.50,
 16,    26.50,    40.54,
 17,    24.11,    35.80,
 18,    22.00,    33.81,
 19,    20.30,    32.09,
 20,    18.85,    29.86,
 21,    17.52,    28.26,
 22,    16.46,    26.85,
 23,    15.65,    25.71,
 24,    14.73,    24.48,
 25,    14.07,    23.15,
 26,    13.51,    22.44,
 27,    13.05,    21.23,
 28,    12.58,    20.62,
 29,    12.16,    19.85,
 30,    11.75,    18.92,
 31,    11.49,    18.51,
 32,    11.08,    18.26,
 33,    10.84,    18.16,
 34,    10.65,    17.44,
 35,    10.38,    16.97,
 36,    10.20,    17.14,
 37,     8.86,    13.40,
 38,     7.65,    12.33,
 39,     7.11,    11.69,
 40,     6.69,    11.24,
end,,,     4.15
